ymd,dow,employees,dayoff,bustrip,overtime,remote,menu3,dn,rice,soup,side1,side2,side3,kimchi,atoffice
2016-02-19,4,2601,145,252,69,0.0,쌀밥/잡곡밥 (쌀:국내산) 설렁탕 (쇠고기:호주산) 김치전 (김치:국내산) 야채스틱  바나나  석박지 (김치:국내산) ,597.0,쌀밥/잡곡밥,설렁탕,김치전,야채스틱,바나나,석박지,2204.0
2016-02-22,0,2601,90,207,434,0.0,쌀밥/잡곡밥 (쌀:국내산) 옹심이만두국  떡갈비조림  청포묵무침  부추오이생채  포기김치 (김치:국내산) ,645.0,쌀밥/잡곡밥,옹심이만두국,떡갈비조림,청포묵무침,부추오이생채,포기김치,2304.0
2016-02-23,1,2601,57,237,488,0.0,쌀밥/잡곡밥 (쌀:국내산) 콩비지찌개  해물까스  볶음쌀국수  미역레몬초무침  통배추겉절이 (김치:국내산) ,610.0,쌀밥/잡곡밥,콩비지찌개,해물까스,볶음쌀국수,미역레몬초무침,통배추겉절이,2307.0
2016-02-24,2,2601,54,232,14,0.0,쌀밥/잡곡밥 (쌀:국내산) 열무된장국  매운돼지갈비찜  멸치호두볶음  숙주나물  포기김치 (김치:국내산) ,514.0,쌀밥/잡곡밥,열무된장국,매운돼지갈비찜,멸치호두볶음,숙주나물,포기김치,2315.0
2016-02-25,3,2601,56,261,335,0.0,김밥 (쌀:국내산) 잔치국수  교자만두 (오븐에 찜) 멕시칸샐러드  무피클  포기김치 (김치:국내산) ,531.0,김밥,잔치국수,교자만두,찜),멕시칸샐러드,포기김치,2284.0
2016-02-26,4,2601,144,278,42,0.0,쌀밥/잡곡밥 (쌀:국내산) 닭개장  삼치구이  꽃맛살볶음  청경채사과무침  포기김치 (김치:국내산) ,585.0,쌀밥/잡곡밥,닭개장,삼치구이,꽃맛살볶음,청경채사과무침,포기김치,2179.0
2016-02-29,0,2601,595,168,110,0.0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 버섯들깨탕  꽁치한마리구이  두부양념조림  구이김  포기김치 (김치:국내산) ",344.0,쌀밥/잡곡밥,버섯들깨탕,꽁치한마리구이,두부양념조림,구이김,포기김치,1838.0
2016-03-02,2,2624,127,182,261,0.0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 된장찌개  버섯불고기  콩나물겨자채  양념깻잎지  포기김치 (배추,고추가루:국내산) ",631.0,쌀밥/잡곡밥,된장찌개,버섯불고기,콩나물겨자채,양념깻잎지,포기김치,2315.0
2016-03-03,3,2624,61,224,351,0.0,"멸치주먹밥 (쌀,현미흑미:국내산) 우동  떡볶이  군고구마  단무지  포기김치 (배추,고추가루:국내산) ",473.0,멸치주먹밥,우동,떡볶이,군고구마,단무지,포기김치,2339.0
2016-03-04,4,2624,83,247,79,0.0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 오징어국  미트볼조림  옥수수전  부추생채  포기김치 (배추,고추가루:국내산) ",673.0,쌀밥/잡곡밥,오징어국,미트볼조림,옥수수전,부추생채,포기김치,2294.0
2016-03-07,0,2624,50,195,456,0.0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 대구찌개 돈육굴소스볶음  감자채볶음  물파래무침   포기김치 (김치:국내산) ",625.0,쌀밥/잡곡밥,대구찌개,돈육굴소스볶음,감자채볶음,물파래무침,포기김치,2379.0
2016-03-08,1,2624,47,212,426,0.0,"카레덮밥 (쌀,현미흑미:국내산) 가쯔오장국 수제고로케  과일샐러드  오복지   포기김치 (김치:국내산) ",609.0,카레덮밥,가쯔오장국,수제고로케,과일샐러드,오복지,포기김치,2365.0
2016-03-09,2,2624,43,225,0,0.0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 육개장 생선까스  야채계란찜  콩나물무침   포기김치 (김치:국내산) ",523.0,쌀밥/잡곡밥,육개장,생선까스,야채계란찜,콩나물무침,포기김치,2356.0
2016-03-10,3,2624,55,245,290,0.0,"볶음밥 (쌀,현미흑미:국내산) 짬뽕 개성감자만두  타코야끼  꼬들단무지   포기김치 (김치:국내산) ",525.0,볶음밥,짬뽕,개성감자만두,타코야끼,꼬들단무지,포기김치,2324.0
2016-03-11,4,2624,108,275,76,0.0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 연두부탕 코다리무조림  고추잡채  봄동겉절이   포기김치 (김치:국내산) ",591.0,쌀밥/잡곡밥,연두부탕,코다리무조림,고추잡채,봄동겉절이,포기김치,2241.0
2016-03-14,0,2624,61,183,376,0.0,쌀밥/잡곡밥 (쌀:국내산) 달래된장찌개  간장찜닭 (닭고기:국내산) 통도라지구이 참나물생채   포기김치 (김치:국내산) ,586.0,쌀밥/잡곡밥,달래된장찌개,간장찜닭,통도라지구이,참나물생채,포기김치,2380.0
2016-03-15,1,2624,38,231,399,0.0,"짜장잡채덮밥 (돈육,쌀:국내산) 계란파국  참치야채전  꽃맛살샐러드 오이무침   포기김치 (김치:국내산) ",545.0,짜장잡채덮밥,계란파국,참치야채전,꽃맛살샐러드,오이무침,포기김치,2355.0
2016-03-16,2,2624,50,213,0,0.0,쌀밥/잡곡밥 (쌀:국내산) 뼈해장국 (돼지고기:국내산) 해물청경채볶음  버섯메밀전 야채스틱   포기김치 (김치:국내산) ,531.0,쌀밥/잡곡밥,뼈해장국,해물청경채볶음,버섯메밀전,야채스틱,포기김치,2361.0
2016-03-17,3,2624,52,242,327,0.0,토마토스파게티 (쌀:국내산) 양송이스프  미니햄버거 (돼지고기:국내산) 단호박범벅 무피클/음료   포기김치 (김치:국내산) ,548.0,토마토스파게티,양송이스프,미니햄버거,단호박범벅,무피클/음료,포기김치,2330.0
2016-03-18,4,2624,118,277,57,0.0,쌀밥/잡곡밥 (쌀:국내산) 닭곰탕 (닭고기:국내산) 임연수찜  어묵곤약볶음 돌나물초장   석박지 (김치:국내산) ,521.0,쌀밥/잡곡밥,닭곰탕,임연수찜,어묵곤약볶음,돌나물초장,석박지,2229.0
2016-03-21,0,2624,65,205,329,0.0,쌀밥/잡곡밥 (쌀:국내산) 수제비국  아귀콩나물찜  새송이버섯볶음  봄동겉절이  포기김치 (김치:국내산) ,605.0,쌀밥/잡곡밥,수제비국,아귀콩나물찜,새송이버섯볶음,봄동겉절이,포기김치,2354.0
2016-03-22,1,2624,41,208,378,0.0,굴소스파인볶음밥 (쌀:국내산) 가쯔오장국  찹쌀순대볶음  궁중떡찜  두반장가지나물  포기김치 (김치:국내산) ,585.0,굴소스파인볶음밥,가쯔오장국,찹쌀순대볶음,궁중떡찜,두반장가지나물,포기김치,2375.0
2016-03-23,2,2624,42,236,0,0.0,쌀밥/잡곡밥 (쌀:국내산) 알탕  동그랑땡전  마파두부 (돼지고기:국내산) 시금치나물  포기김치 (김치:국내산) ,544.0,쌀밥/잡곡밥,알탕,동그랑땡전,마파두부,시금치나물,포기김치,2346.0
2016-03-24,3,2624,53,251,293,0.0,참치회덮밥 (쌀:국내산) 미소장국  군만두  콘샐러드  바나나  포기김치 (김치:국내산) ,507.0,참치회덮밥,미소장국,군만두,콘샐러드,바나나,포기김치,2320.0
2016-03-25,4,2624,98,275,59,0.0,쌀밥/잡곡밥 (쌀:국내산) 냉이된장찌개  누룽지탕수육 (돼지고기:국내산) 감자채볶음  청경채무침  포기김치 (김치:국내산) ,523.0,쌀밥/잡곡밥,냉이된장찌개,누룽지탕수육,감자채볶음,청경채무침,포기김치,2251.0
2016-03-28,0,2624,77,197,299,0.0,쌀밥/잡곡밥 (쌀:국내산) 콩비지찌개  유산슬  해물까스  도라지나물  포기김치 (김치:국내산) ,637.0,쌀밥/잡곡밥,콩비지찌개,유산슬,해물까스,도라지나물,포기김치,2350.0
2016-03-29,1,2624,52,245,259,0.0,햄볶음밥 (쌀:국내산) 유부장국  돈육씨앗강정  해초무침  깨찰빵  포기김치 (김치:국내산) ,465.0,햄볶음밥,유부장국,돈육씨앗강정,해초무침,깨찰빵,포기김치,2327.0
2016-03-30,2,2624,48,230,0,0.0,쌀밥/잡곡밥 (쌀:국내산) 어묵국  등갈비김치찜  청포묵무침  애호박나물  깍두기 (김치:국내산) ,463.0,쌀밥/잡곡밥,어묵국,등갈비김치찜,청포묵무침,애호박나물,깍두기,2346.0
2016-03-31,3,2624,36,248,158,0.0,주먹밥 (쌀:국내산) 잔치국수  또띠아피자  과일샐러드  오이피클  포기김치 (김치:국내산) ,526.0,주먹밥,잔치국수,또띠아피자,과일샐러드,오이피클,포기김치,2340.0
2016-04-01,4,2643,103,254,47,0.0,쌀밥/잡곡밥 (쌀:국내산) 쇠고기미역국  순살깐풍기  계란찜  숙주미나리나물  포기김치 (김치:국내산) ,591.0,쌀밥/잡곡밥,쇠고기미역국,순살깐풍기,계란찜,숙주미나리나물,포기김치,2286.0
2016-04-04,0,2643,62,221,367,0.0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 된장찌개  고등어조림  고기전  부추생채  포기김치 (김치:국내산) ",614.0,쌀밥/잡곡밥,된장찌개,고등어조림,고기전,부추생채,포기김치,2360.0
2016-04-05,1,2643,31,242,370,0.0,"김치볶음밥 (쌀,현미흑미:국내산) 가쯔오장국  감자치즈구이  꽃맛살샐러드  단무지  깍두기 (배추,고추가루:국내산) ",555.0,김치볶음밥,가쯔오장국,감자치즈구이,꽃맛살샐러드,단무지,깍두기,2370.0
2016-04-06,2,2643,37,249,0,0.0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 매운버섯국  찜닭  탕평채  청경채생채  포기김치 (배추,고추가루:국내산) ",492.0,쌀밥/잡곡밥,매운버섯국,찜닭,탕평채,청경채생채,포기김치,2357.0
2016-04-07,3,2643,47,258,339,0.0,"김밥 (쌀,현미흑미:국내산) 우동  야채튀김  조각사과  오복지  포기김치 (배추,고추가루:국내산) ",524.0,김밥,우동,야채튀김,조각사과,오복지,포기김치,2338.0
2016-04-08,4,2643,87,283,64,0.0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 오징어국  미니함박  멸치호두볶음  치커리사과무침  포기김치 (배추,고추가루:국내산) ",542.0,쌀밥/잡곡밥,오징어국,미니함박,멸치호두볶음,치커리사과무침,포기김치,2273.0
2016-04-11,0,2643,82,203,392,0.0,쌀밥/잡곡밥 (쌀:국내산) 쇠고기무국 (쇠고기:호주산) 가자미찜  계란야채말이  돌나물오이무침  포기김치 (김치:국내산) ,536.0,쌀밥/잡곡밥,쇠고기무국,가자미찜,계란야채말이,돌나물오이무침,포기김치,2358.0
2016-04-12,1,2643,76,225,239,0.0,"치킨마요덮밥 (닭,쌀:국내산) 유부주머니국  떡볶이  단무지무침  오렌지  포기김치 (김치:국내산) ",500.0,치킨마요덮밥,유부주머니국,떡볶이,단무지무침,오렌지,포기김치,2342.0
2016-04-14,3,2643,106,252,326,0.0,비빔밥 (쌀:국내산) 팽이버섯장국  새우또띠아  견과류조림  피크닉  포기김치 (김치:국내산) ,562.0,비빔밥,팽이버섯장국,새우또띠아,견과류조림,피크닉,포기김치,2285.0
2016-04-15,4,2643,131,281,82,0.0,쌀밥/잡곡밥 (쌀:국내산) 들깨미역국  수제돈가스  감자범벅  참나물생채  포기김치/무피클 (김치:국내산) ,582.0,쌀밥/잡곡밥,들깨미역국,수제돈가스,감자범벅,참나물생채,포기김치/무피클,2231.0
2016-04-18,0,2643,81,225,330,0.0,쌀밥/잡곡밥 (쌀:국내산) 꽃게탕  유산슬  야채계란찜  두반장가지나물  포기김치 (김치:국내산) ,525.0,쌀밥/잡곡밥,꽃게탕,유산슬,야채계란찜,두반장가지나물,포기김치,2337.0
2016-04-19,1,2643,44,239,387,0.0,낙지비빔밥  유부장국  새싹피자  과일샐러드  꼬들단무지  포기김치 (김치:국내산) ,449.0,낙지비빔밥,유부장국,새싹피자,과일샐러드,꼬들단무지,포기김치,2360.0
2016-04-20,2,2643,47,262,0,0.0,쌀밥/잡곡밥  어묵국  닭볶음탕  새송이버섯전  시금치나물  포기김치 (김치:국내산) ,504.0,쌀밥/잡곡밥,어묵국,닭볶음탕,새송이버섯전,시금치나물,포기김치,2334.0
2016-04-21,3,2643,66,264,312,0.0,오므라이스 (쌀:국내산) 팽이버섯국  해물까스  쫄면무침  바나나/피클  포기김치 (김치:국내산) ,531.0,오므라이스,팽이버섯국,해물까스,쫄면무침,바나나/피클,포기김치,2313.0
2016-04-22,4,2643,150,275,86,0.0,쌀밥/잡곡밥 (쌀:국내산) 순두부찌개  탕수어  꽃맛살볶음  취나물땅콩무침  포기김치 (김치:국내산) ,557.0,쌀밥/잡곡밥,순두부찌개,탕수어,꽃맛살볶음,취나물땅콩무침,포기김치,2218.0
2016-04-25,0,2643,96,201,281,0.0,쌀밥/잡곡밥 (쌀:국내산) 알탕  순살깐풍기  모둠묵  세발나물  포기김치 (김치:국내산) ,528.0,쌀밥/잡곡밥,알탕,순살깐풍기,모둠묵,세발나물,포기김치,2346.0
2016-04-26,1,2643,51,227,304,0.0,짜장덮밥  맑은국  쇠고기퀘사디아  오이무침  요플레/단무지  포기김치 (김치:국내산) ,568.0,짜장덮밥,맑은국,쇠고기퀘사디아,오이무침,요플레/단무지,포기김치,2365.0
2016-04-27,2,2643,71,234,0,0.0,쌀밥/잡곡밥 (쌀:국내산) 청국장찌개  코다리무조림  비엔나케찹볶음  참나물  포기김치 (김치:국내산) ,490.0,쌀밥/잡곡밥,청국장찌개,코다리무조림,비엔나케찹볶음,참나물,포기김치,2338.0
2016-04-28,3,2643,56,269,196,0.0,참치주먹밥 (쌀:국내산) 비빔메밀국수  가쯔오장국  탕수만두  오렌지  포기김치 (김치:국내산) ,508.0,참치주먹밥,비빔메밀국수,가쯔오장국,탕수만두,오렌지,포기김치,2318.0
2016-04-29,4,2643,139,282,28,0.0,쌀밥/잡곡밥 (쌀:국내산) 들깨버섯탕  고추잡채  두부계란구이  시금치초장무침  포기김치 (김치:국내산) ,507.0,쌀밥/잡곡밥,들깨버섯탕,고추잡채,두부계란구이,시금치초장무침,포기김치,2222.0
2016-05-02,0,2635,80,214,302,0.0,쌀밥/잡곡밥 (쌀:국내산) 북어국  고추장불고기  모듬양채쌈  날치알계란찜  포기김치 (김치:국내산) ,551.0,쌀밥/잡곡밥,북어국,고추장불고기,모듬양채쌈,날치알계란찜,포기김치,2341.0
2016-05-03,1,2635,65,251,292,0.0,쌀밥/잡곡밥 (쌀:국내산) 부대찌개  탕수육  삼치구이  미역줄기볶음  열무김치 (김치:국내산) ,515.0,쌀밥/잡곡밥,부대찌개,탕수육,삼치구이,미역줄기볶음,열무김치,2319.0
2016-05-04,2,2635,150,244,0,0.0,카레덮밥  미소장국  수제미니햄버거  오이소박이  사과/오렌지쥬스  포기김치 (김치:국내산) ,636.0,카레덮밥,미소장국,수제미니햄버거,오이소박이,사과/오렌지쥬스,포기김치,2241.0
2016-05-09,0,2635,101,233,344,0.0,쌀밥/잡곡밥 (쌀:국내산) 닭개장  가자미튀김  모둠소시지구이  오이무침  포기김치 (김치:국내산) ,591.0,쌀밥/잡곡밥,닭개장,가자미튀김,모둠소시지구이,오이무침,포기김치,2301.0
2016-05-10,1,2635,53,252,350,0.0,김치볶음밥/계란 (쌀:국내산) 가쯔오국  찹쌀순대볶음  감자만두  바나나  포기김치 (김치:국내산) ,519.0,김치볶음밥/계란,가쯔오국,찹쌀순대볶음,감자만두,바나나,포기김치,2330.0
2016-05-11,2,2635,60,266,0,0.0,쌀밥/잡곡밥 (쌀:국내산) 콩비지찌개  해물누룽지탕  치즈계란말이  양념깻잎지  열무김치 (김치:국내산) ,423.0,쌀밥/잡곡밥,콩비지찌개,해물누룽지탕,치즈계란말이,양념깻잎지,열무김치,2309.0
2016-05-12,3,2635,71,274,315,0.0,돈까스김밥 (쌀:국내산) 잔치국수  멕시칸샐러드  마늘쫑무침  컵주스  포기김치 (김치:국내산) ,532.0,돈까스김밥,잔치국수,멕시칸샐러드,마늘쫑무침,컵주스,포기김치,2290.0
2016-05-13,4,2635,185,268,80,0.0,쌀밥/잡곡밥 (쌀:국내산) 쇠고기무국  코다리강정  잡채  얼갈이나물  포기김치 (김치:국내산) ,517.0,쌀밥/잡곡밥,쇠고기무국,코다리강정,잡채,얼갈이나물,포기김치,2182.0
2016-05-16,0,2635,99,216,368,0.0,쌀밥/잡곡밥 (쌀:국내산) 닭곰탕  주꾸미볶음  두부계란부침  부추생채  포기김치 (김치:국내산) ,594.0,쌀밥/잡곡밥,닭곰탕,주꾸미볶음,두부계란부침,부추생채,포기김치,2320.0
2016-05-17,1,2635,41,254,377,0.0,유부초밥 (쌀:국내산) 우동  떡볶이  군만두  또띠아칩/오렌지  포기김치 (김치:국내산) ,633.0,유부초밥,우동,떡볶이,군만두,또띠아칩/오렌지,포기김치,2340.0
2016-05-18,2,2635,71,257,0,0.0,쌀밥/잡곡밥 (쌀:국내산) 뼈해장국  황태양념구이  메추리알조림  시금치무침  석박지 (김치:국내산) ,456.0,쌀밥/잡곡밥,뼈해장국,황태양념구이,메추리알조림,시금치무침,석박지,2307.0
2016-05-19,3,2635,65,266,264,0.0,새우살볶음밥 (쌀:국내산) 팽이장국  사천식탕수육  콩나물무침  슈크림  포기김치 (김치:국내산) ,529.0,새우살볶음밥,팽이장국,사천식탕수육,콩나물무침,슈크림,포기김치,2304.0
2016-05-20,4,2635,169,287,56,0.0,쌀밥/잡곡밥 (쌀:국내산) 육개장  꽁치허브구이  비엔나케찹볶음  참나물무침  포기김치 (김치:국내산) ,487.0,쌀밥/잡곡밥,육개장,꽁치허브구이,비엔나케찹볶음,참나물무침,포기김치,2179.0
2016-05-23,0,2635,88,203,362,0.0,쌀밥/잡곡밥 (쌀:국내산) 수제비국  데리야끼파닭  새송이버섯볶음  아삭고추무침  포기김치 (김치:국내산) ,613.0,쌀밥/잡곡밥,수제비국,데리야끼파닭,새송이버섯볶음,아삭고추무침,포기김치,2344.0
2016-05-24,1,2635,74,234,310,0.0,참치회덮밥 (쌀:국내산) 맑은국  고구마치즈구이  락교  방울토마토  포기김치 (김치:국내산) ,465.0,참치회덮밥,맑은국,고구마치즈구이,락교,방울토마토,포기김치,2327.0
2016-05-25,2,2635,72,258,0,0.0,쌀밥/잡곡밥  된장찌개  등갈비김치찜 (돼지고기:국내산) 해물까스  도라지나물  오이소박이 (김치:국내산) ,454.0,쌀밥/잡곡밥,된장찌개,등갈비김치찜,해물까스,도라지나물,오이소박이,2305.0
2016-05-26,3,2635,64,285,227,0.0,짜장잡채밥  계란파국  춘권  과일샐러드  쨔샤이무침  포기김치 (김치:국내산) ,520.0,짜장잡채밥,계란파국,춘권,과일샐러드,쨔샤이무침,포기김치,2286.0
2016-05-27,4,2635,163,291,61,0.0,쌀밥/잡곡밥 (쌀:국내산) 꽃게탕  돈육청경채볶음 (돼지고기:국내산) 계란말이  연두부  포기김치 (김치:국내산) ,493.0,쌀밥/잡곡밥,꽃게탕,돈육청경채볶음,계란말이,연두부,포기김치,2181.0
2016-05-30,0,2635,73,215,291,0.0,"쌀밥/잡곡밥 (쌀:국내산) 해물순두부찌개  미니함박조림 (쇠고기:호주산,돈육:국내산) 도토리묵무침  숙주나물  포기김치 (김치:국내산) ",631.0,쌀밥/잡곡밥,해물순두부찌개,미니함박조림,도토리묵무침,숙주나물,포기김치,2347.0
2016-05-31,1,2635,50,250,185,0.0,참치주먹밥 (쌀:국내산) 쌀국수 (닭고기:국내산) 수제고로케  꽃맛살샐러드  무피클  포기김치 (김치:국내산) ,535.0,참치주먹밥,쌀국수,수제고로케,꽃맛살샐러드,무피클,포기김치,2335.0
2016-06-01,2,2637,75,245,0,0.0,쌀밥/잡곡밥 (쌀:국내산) 어묵국  고추장불고기 (돼지고기:국내산) 감자채햄볶음  양배추쌈  포기김치 (김치:국내산) ,490.0,쌀밥/잡곡밥,어묵국,고추장불고기,감자채햄볶음,양배추쌈,포기김치,2317.0
2016-06-02,3,2637,81,258,301,0.0,날치알볶음밥 (쌀:국내산) 유부장국  고추잡채 (쇠고기:호주산) 땅콩조림  오렌지  배추겉절이 (김치:국내산) ,483.0,날치알볶음밥,유부장국,고추잡채,땅콩조림,오렌지,배추겉절이,2298.0
2016-06-03,4,2637,191,268,64,0.0,쌀밥/잡곡밥 (쌀:국내산) 시래기국  수제돈까스  단호박범벅/오이피클  주꾸미무침  포기김치 (김치:국내산) ,548.0,쌀밥/잡곡밥,시래기국,수제돈까스,단호박범벅/오이피클,주꾸미무침,포기김치,2178.0
2016-06-07,1,2637,115,192,389,0.0,콩나물밥 (쌀:국내산) 가쯔오장국  미트볼케찹조림  계란찜  마늘쫑무침  포기김치 (김치:국내산) ,629.0,콩나물밥,가쯔오장국,미트볼케찹조림,계란찜,마늘쫑무침,포기김치,2330.0
2016-06-08,2,2637,58,240,0,0.0,쌀밥/잡곡밥 (쌀:국내산) 육개장  자반고등어구이  우엉잡채  상추겉절이  포기김치 (김치:국내산) ,500.0,쌀밥/잡곡밥,육개장,자반고등어구이,우엉잡채,상추겉절이,포기김치,2339.0
2016-06-09,3,2637,69,252,359,0.0,충무김밥  열무물국수  오징어무침  야채튀김  방울토마토  석박지 (김치:국내산) ,506.0,충무김밥,열무물국수,오징어무침,야채튀김,방울토마토,석박지,2316.0
2016-06-10,4,2637,151,270,61,0.0,쌀밥/잡곡밥 (쌀:국내산) 어묵국  버섯불고기  두부조림  참나물  포기김치 (김치:국내산) ,509.0,쌀밥/잡곡밥,어묵국,버섯불고기,두부조림,참나물,포기김치,2216.0
2016-06-13,0,2637,98,209,415,0.0,쌀밥/잡곡밥 (쌀:국내산) 들깨버섯탕  삼치데리야끼구이  햄맛살볶음  아삭고추무침  포기김치 (김치:국내산) ,590.0,쌀밥/잡곡밥,들깨버섯탕,삼치데리야끼구이,햄맛살볶음,아삭고추무침,포기김치,2330.0
2016-06-14,1,2637,56,241,432,0.0,오므라이스 (쌀:국내산) 미소장국  훈제오리냉채  군만두  수박  포기김치 (김치:국내산) ,593.0,오므라이스,미소장국,훈제오리냉채,군만두,수박,포기김치,2340.0
2016-06-15,2,2637,60,260,0,0.0,쌀밥/잡곡밥 (쌀:국내산) 닭개장  해물청경채볶음  계란말이  오이도라지생채  포기김치 (김치:국내산) ,535.0,쌀밥/잡곡밥,닭개장,해물청경채볶음,계란말이,오이도라지생채,포기김치,2317.0
2016-06-16,3,2637,73,263,336,0.0,유부초밥 (쌀:국내산) 냉모밀국수  치킨핑거  떡볶이  스틱단무지  포기김치 (김치:국내산) ,524.0,유부초밥,냉모밀국수,치킨핑거,떡볶이,스틱단무지,포기김치,2301.0
2016-06-17,4,2637,165,291,60,0.0,쌀밥/잡곡밥 (쌀:국내산) 소고기미역국  유산슬  해물가스  치커리유자무침  포기김치 (김치:국내산) ,484.0,쌀밥/잡곡밥,소고기미역국,유산슬,해물가스,치커리유자무침,포기김치,2181.0
2016-06-20,0,2637,101,257,344,0.0,쌀밥/잡곡밥 (쌀:국내산) 호박잎찌개  쇠불고기 (쇠고기:호주산) 두부계란부침  부추생채  포기김치 (김치:국내산) ,585.0,쌀밥/잡곡밥,호박잎찌개,쇠불고기,두부계란부침,부추생채,포기김치,2279.0
2016-06-21,1,2637,49,248,349,0.0,김밥/맑은국 (쌀:국내산) 비빔국수 (쇠고기:호주산) 콘샐러드  찐햇감자  단무지  포기김치 (김치:국내산) ,645.0,김밥/맑은국,비빔국수,콘샐러드,찐햇감자,단무지,포기김치,2340.0
2016-06-22,2,2637,47,258,0,0.0,쌀밥/잡곡밥 (쌀:국내산) 닭곰탕 (닭고기:국내산) 찹쌀순대볶음  연근땅콩조림  브로컬리초장  포기김치 (김치:국내산) ,467.0,쌀밥/잡곡밥,닭곰탕,찹쌀순대볶음,연근땅콩조림,브로컬리초장,포기김치,2332.0
2016-06-23,3,2637,53,271,346,0.0,작은밥/맑은국 (쌀:국내산) 토마토스파게티  양송이스프  쇠고기퀘사디아 (쇠고기:호주산) 오이피클/음료  깍두기 (김치:국내산) ,588.0,작은밥/맑은국,토마토스파게티,양송이스프,쇠고기퀘사디아,오이피클/음료,깍두기,2313.0
2016-06-24,4,2637,169,284,52,0.0,쌀밥/잡곡밥 (쌀:국내산) 순두부찌개  해물누룽지탕  버섯메밀전  미역줄기  포기김치 (김치:국내산) ,475.0,쌀밥/잡곡밥,순두부찌개,해물누룽지탕,버섯메밀전,미역줄기,포기김치,2184.0
